,safegraph_place_id,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags
562,sg:28eb3661cb614bd58642dd111ac942c6,,Central Oklahoma Ambulatory Surgical Center,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.537062,-97.574938,3301 NW 63rd St,Oklahoma City,OK,73116,US,,,
721,sg:35c969aa2dc04b1c8d33223bf3aa11c4,,Hurts Donut,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,35.493567,-97.522745,601 NW 23rd St,Oklahoma City,OK,73103,US,14058398343.0,,Donut Shop
969,sg:46bcabe03e1b42308f483015014a184d,sg:5d38c02bb8494eb49dff4a31ff7e3bc8,Express Employment Professionals,SG_BRAND_ebb052acad0f1ee8c75830232699bde0,Express Employment Professionals,Employment Services,Employment Placement Agencies,561311.0,35.554184,-97.627376,6401 NW Expressway Ste 108,Oklahoma City,OK,73132,US,14057201000.0,,
1778,sg:8225f79c34ab4971a8aa4dcc6b11e9a8,,Nail Spa Hair,,,Personal Care Services,Nail Salons,812113.0,35.507818,-97.56321899999999,2741 NW 36th St,Oklahoma City,OK,73112,US,14059175827.0,,
2017,sg:943bb85ed05745efbefefa743549fdbe,,24 Fit Gym,,,,,,35.376235,-97.530984,9101 S Western Ave,Oklahoma City,OK,73139,US,,,
2141,sg:9ddbc20cac1d4f9a906bc39c2c55833e,sg:7df275ab40b04bf28ff089dfb40b5e83,Pearle Vision,SG_BRAND_12296f1d4dc0772a7d874115bd3c84c9,Pearle Vision,Health and Personal Care Stores,Optical Goods Stores,446130.0,35.558176,-97.642038,8549 N Rockwell Ave,Oklahoma City,OK,73132,US,14057208316.0,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }",
2162,sg:a017404c54b14d4c803c389c9d29fc97,,Masters Car Wash,,,Automotive Repair and Maintenance,Car Washes,811192.0,35.615753000000005,-97.548909,2025 NW 142nd St,Oklahoma City,OK,73134,US,14056080570.0,"{ ""Mon"": [[""8:30"", ""17:30""]], ""Tue"": [[""8:30"", ""17:30""]], ""Wed"": [[""8:30"", ""17:30""]], ""Thu"": [[""8:30"", ""17:30""]], ""Fri"": [[""8:30"", ""17:30""]], ""Sat"": [[""8:30"", ""17:00""]], ""Sun"": [[""11:00"", ""17:00""]] }",
2625,sg:c3351896d7e4427fb265cc845cfc1e44,sg:5aa3ed53c73743dca5f3dc7203750543,Old Navy,SG_BRAND_b9051db14066a865167ed2cea172b3e2,Old Navy,Clothing Stores,Family Clothing Stores,448140.0,35.526533,-97.5363,1711 Belle Isle Blvd,Oklahoma City,OK,73118,US,14058434411.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""11:00"", ""19:00""]] }",
2883,sg:d79672ab2aec42c7bfcc0391d5b159b5,,Sheila Newcomb DO,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.401072,-97.530767,6501 S Western Ave,Oklahoma City,OK,73139,US,14058968772.0,,
4115,sg:35876b34f8c14a6da63f06d1392e7e58,,INTEGRIS Health,SG_BRAND_714773b72fe5fddd0f27426485ff3532,INTEGRIS Health,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.530432,-97.57758299999999,3400 NW Expressway Bldg C Ste 500,Oklahoma City,OK,73112,US,14059454589.0,,
4165,sg:392f006e152947ffa8c2c2ce69f18ad0,sg:ed9ae637f0854873b5d8968453e149c4,Express,SG_BRAND_b144fa061545497bebee8c414efc99a9,Express,Clothing Stores,Family Clothing Stores,448140.0,35.612889,-97.558022,2501 W Memorial Rd,Oklahoma City,OK,73134,US,,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",
4194,sg:3adaea47f0444ba6bf3d6d2c9c0bf4e7,,Supra Home Care of Oklahoma,,,Home Health Care Services,Home Health Care Services,621610.0,35.558201000000004,-97.50108,717 NE 85th St,Oklahoma City,OK,73114,US,,,
4565,sg:56d91d8e9de94c079fe0c61fdbb72076,,United Rentals,SG_BRAND_0cb10408942cd39e3d3779ce5294bd91,United Rentals,Commercial and Industrial Machinery and Equipment Rental and Leasing,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,532490.0,35.433826,-97.487128,3101 South I-35 Svc Road,Oklahoma City,OK,73129,US,,"{ ""Mon"": [[""7:00"", ""17:00""]], ""Tue"": [[""7:00"", ""17:00""]], ""Wed"": [[""7:00"", ""17:00""]], ""Thu"": [[""7:00"", ""17:00""]], ""Fri"": [[""7:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",
5426,sg:960dc575878944a0b757a9645b3ddefd,,Star Auto Sales,,,,,,35.493367,-97.34840600000001,10301 NE 23rd St,Oklahoma City,OK,73141,US,14057692534.0,,
6689,sg:f857b95035d64958b8704aacaa1d860b,,Colcord Hotel,,,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,35.466817,-97.516715,15 N Robinson Ave,Oklahoma City,OK,73102,US,14056014300.0,,
7253,sg:1e591aa7e0ed45f18875b3ac7dca1c1c,,FIT Nutrition,,,Health and Personal Care Stores,Food (Health) Supplement Stores,446191.0,35.390352,-97.549934,2132 West Interstate 240 Service Rd,Oklahoma City,OK,73159,US,14054967271.0,"{ ""Mon"": [[""7:00"", ""16:00""]], ""Tue"": [[""7:00"", ""16:00""]], ""Wed"": [[""7:00"", ""16:00""]], ""Thu"": [[""7:00"", ""16:00""]], ""Fri"": [[""7:00"", ""16:00""]], ""Sat"": [[""9:00"", ""16:00""]], ""Sun"": [] }",
7472,sg:2be23444dcff41188d6ca0e1a6924afa,sg:700c69a88deb4ca3906392feff0a9c08,Folger Teresa MD,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.582755,-97.58399,11101 Hefner Pointe Dr,Oklahoma City,OK,73120,US,,,
7682,sg:3b21569268574cbb979e594debf01079,,Name Brand Clothing,,,Clothing Stores,Family Clothing Stores,448140.0,35.566623,-97.550108,2111 W Britton Rd,Oklahoma City,OK,73120,US,14058790006.0,,
7948,sg:4fdff4b8fa0f4cf98745828c5c60d8ef,,Lightning Creek Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190.0,35.386414,-97.527867,8100 S Western Ave,Oklahoma City,OK,73139,US,,,
9850,sg:de08df69cd64409ab85c8e74f9b3e1f7,sg:8f1b75f27d594469b94e00c537242226,Hair By Jami Brewer,,,Personal Care Services,Beauty Salons,812112.0,35.351561,-97.530877,11607 S Western Ave,Oklahoma City,OK,73170,US,14056934457.0,"{ ""Mon"": [], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""9:00"", ""20:00""]], ""Sun"": [] }",
11678,sg:66416d0def934cb69106ddfb346e6cf3,,Aaa Corporate Office,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,35.613937,-97.571259,3100 Quail Springs Pkwy,Oklahoma City,OK,73134,US,,,
11753,sg:6bdfe5a8965946c2ae89d88631e0d652,,Love Joy & Peace Church of God In Christ,,,Religious Organizations,Religious Organizations,813110.0,35.496137,-97.489756,1221 NE 25th St,Oklahoma City,OK,73111,US,14054272240.0,,
11825,sg:70aa9553e8fe4eb4a398c8de9ec9c225,,Omni Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190.0,35.471703999999995,-97.354569,9825 NE 4th St,Oklahoma City,OK,73130,US,,,
12889,sg:c4941e5eb00643789b303ebf13913e19,,Gyros Etc,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.55664,-97.63784100000001,7006 NW Expressway,Oklahoma City,OK,73132,US,14057201667.0,"{ ""Mon"": [[""11:00"", ""20:30""]], ""Tue"": [[""11:00"", ""20:30""]], ""Wed"": [[""11:00"", ""20:30""]], ""Thu"": [[""11:00"", ""20:30""]], ""Fri"": [[""11:00"", ""20:30""]], ""Sat"": [[""11:00"", ""20:30""]], ""Sun"": [] }","Mediterranean Food,Greek Food"
13010,sg:ccf7179d7ecb4bd3b0354c627e88d615,,Okc Physical Therapy South,,,Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340.0,35.368763,-97.548817,9913 S Pennsylvania Ave,Oklahoma City,OK,73159,US,14056913200.0,,
13483,sg:f1e35a5240f74b729903da870b13acb9,,AT&T,SG_BRAND_5deb800ce9500e72e355137ab8b48fb6,AT&T,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312.0,35.608507,-97.615086,5500 W Memorial Rd Ste 4,Oklahoma City,OK,73142,US,,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [[""12:00"", ""17:00""]] }",
13505,sg:f35a32fd189141d5a8a7a792cb8baf59,,HeyDay Entertainment,,,Other Amusement and Recreation Industries,Bowling Centers,713950.0,35.463526,-97.510006,200 S Oklahoma Ave Ste Hd,Oklahoma City,OK,73104,US,,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""1:00""], [""11:00"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""], [""11:00"", ""22:00""]] }",
13917,sg:0fbe314ef01a4b108d5dd08adcec06c0,,El Primo Loco,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.471945,-97.63709,501 N Rockwell Ave,Oklahoma City,OK,73127,US,14054912550.0,,Mexican Food
14121,sg:1f68697c7bf649adb1fe442c5c0bf60a,sg:03b61e821c45488faad76bfcdb926370,Affiliated Plastic Surgeons,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.479426000000004,-97.496672,920 Stanton L Young Blvd,Oklahoma City,OK,73104,US,,,
14389,sg:31f52f7b74fd47e0abf8199ee048b8de,,Central New Holland,,,Building Material and Supplies Dealers,Hardware Stores,444130.0,35.459226,-97.662324,8408 W I 40 Service Rd,Oklahoma City,OK,73128,US,14053848120.0,"{ ""Mon"": [[""8:00"", ""17:30""]], ""Tue"": [[""8:00"", ""17:30""]], ""Wed"": [[""8:00"", ""17:30""]], ""Thu"": [[""8:00"", ""17:30""]], ""Fri"": [[""8:00"", ""17:30""]], ""Sat"": [[""8:00"", ""13:00""]], ""Sun"": [] }",
15428,sg:7a68351824844ff2a3700ab72393b079,,Mosaic Medbill,,,Medical and Diagnostic Laboratories,Medical Laboratories,621511.0,35.412420000000004,-97.529261,5350 S Western Ave,Oklahoma City,OK,73109,US,14058596310.0,,
16320,sg:bc6bd32bd1ba407bb466e62a04e08e95,,Village Quality Food,,,Grocery Stores,Convenience Stores,445120.0,35.579738,-97.548787,10840 N Pennsylvania Ave,Oklahoma City,OK,73120,US,14057516660.0,,
17736,sg:25229632b8ea4260ae3866963a4780b0,,Carlie's,,,Clothing Stores,Women's Clothing Stores,448120.0,35.405569,-97.492992,6000 S I 35 Service Rd,Oklahoma City,OK,73149,US,14058966459.0,"{ ""Mon"": [[""9:00"", ""24:00""]], ""Tue"": [[""9:00"", ""24:00""]], ""Wed"": [[""9:00"", ""24:00""]], ""Thu"": [[""9:00"", ""24:00""]], ""Fri"": [[""9:00"", ""24:00""]], ""Sat"": [[""9:00"", ""24:00""]], ""Sun"": [[""12:00"", ""22:00""]] }",
18370,sg:4ee4729ca40f47e0aac1a1b0b181d40e,,State Farm,SG_BRAND_1eeccf353a7dd8a1ad3b37c746fc6d82,State Farm,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,35.524613,-97.559162,2600 NW Expressway,Oklahoma City,OK,73112,US,,"{ ""Mon"": [[""8:30"", ""17:30""]], ""Tue"": [[""8:30"", ""17:30""]], ""Wed"": [[""8:30"", ""17:30""]], ""Thu"": [[""8:30"", ""17:30""]], ""Fri"": [[""8:30"", ""17:30""]], ""Sat"": [], ""Sun"": [] }",
18723,sg:6a13daa891f14b5fa2e19123eaaac145,,Athlon II,,,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,451110.0,35.379798,-97.54717099999999,1684 SW 86th St Ste A,Oklahoma City,OK,73159,US,14056853737.0,,
20324,sg:e05a1c8af2294708be621bb5f1b254f1,,Great Clips,SG_BRAND_2455d18c3dd9107af26c64a7f7248edd,Great Clips,Personal Care Services,Beauty Salons,812112.0,35.536124,-97.56618,6315 N May Ave,Oklahoma City,OK,73112,US,14058100414.0,,
20404,sg:e6ce83218cf2411aaaa15063b20aad77,,Sherman Hume Insurance Agency,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,35.565796,-97.534715,1225 W Britton Rd,Oklahoma City,OK,73114,US,14058422377.0,"{ ""Mon"": [[""8:30"", ""16:30""]], ""Tue"": [[""8:30"", ""16:30""]], ""Wed"": [[""8:30"", ""16:30""]], ""Thu"": [[""8:30"", ""16:30""]], ""Fri"": [[""8:30"", ""16:00""]], ""Sat"": [], ""Sun"": [] }",
20931,sg:0d2fe15f23d1404590432038550c62f2,sg:a43bec0f674a4a5fa15a89f548b53e10,Sean Cummings Irish Restaurant & Pub,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.548888,-97.565253,7523 N May Ave,Oklahoma City,OK,73116,US,14057552622.0,,Irish Food
21205,sg:225e9542babd46fa9ce32e791c95d000,,Sherwin-Williams,SG_BRAND_739edde2613c107f7930d838af736899,Sherwin-Williams,Building Material and Supplies Dealers,Paint and Wallpaper Stores,444120.0,35.61687,-97.548948,14330 N Pennsylvania Ave,Oklahoma City,OK,73134,US,14057513500.0,"{ ""Mon"": [[""7:00"", ""19:00""]], ""Tue"": [[""7:00"", ""19:00""]], ""Wed"": [[""7:00"", ""19:00""]], ""Thu"": [[""7:00"", ""19:00""]], ""Fri"": [[""7:00"", ""19:00""]], ""Sat"": [[""8:00"", ""18:00""]], ""Sun"": [[""10:00"", ""18:00""]] }",
21286,sg:27bbf356e00442598836f2e9cde8c84e,,Med Eval Clinic,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.511802,-97.534963,4001 N Classen Blvd Ste 101,Oklahoma City,OK,73118,US,14058402180.0,,
22400,sg:7a606263e8e94476b11ea9e072048219,,Angela Massage Therapy in Okc,,,Personal Care Services,Other Personal Care Services,812199.0,35.489067999999996,-97.61841899999999,1900 N Macarthur Ste 132 Studio 132,Oklahoma City,OK,73127,US,14052547028.0,"{ ""Mon"": [[""10:00"", ""16:00""]], ""Tue"": [[""10:00"", ""16:00""]], ""Wed"": [[""10:00"", ""16:00""]], ""Thu"": [[""10:00"", ""16:00""]], ""Fri"": [[""10:00"", ""16:00""]], ""Sat"": [], ""Sun"": [] }",
22509,sg:8244e29317da419aa56b66f44745c5ed,,State Auto Insurance Agency,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,35.418088,-97.53048000000001,4717 S Western Ave,Oklahoma City,OK,73109,US,14053456742.0,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",
